GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
zyra,com.mingweisamuel.zyra.champion,Champion,131,0,16,0,25,0,11,0,3,0
zyra,com.mingweisamuel.zyra.champion,ChampionList,39,0,4,0,9,0,5,0,3,0
zyra,com.mingweisamuel.zyra.spectator,GameCustomizationObject,57,0,8,0,11,0,7,0,3,0
zyra,com.mingweisamuel.zyra.spectator,Participant,145,0,18,0,27,0,12,0,3,0
zyra,com.mingweisamuel.zyra.spectator,CurrentGameInfo,198,0,26,0,34,0,16,0,3,0
zyra,com.mingweisamuel.zyra.spectator,Observer,39,0,4,0,9,0,5,0,3,0
zyra,com.mingweisamuel.zyra.spectator,FeaturedGames,60,0,8,0,12,0,7,0,3,0
zyra,com.mingweisamuel.zyra.spectator,FeaturedGameInfo,198,0,26,0,34,0,16,0,3,0
zyra,com.mingweisamuel.zyra.spectator,BannedChampion,80,0,10,0,16,0,8,0,3,0
zyra,com.mingweisamuel.zyra.spectator,Perks,77,0,10,0,15,0,8,0,3,0
zyra,com.mingweisamuel.zyra.spectator,CurrentGameParticipant,190,0,24,0,34,0,15,0,3,0
zyra,com.mingweisamuel.zyra.entity,MatchEntity.TeamEntity,23,23,2,0,3,6,4,3,3,3
zyra,com.mingweisamuel.zyra.entity,MatchEntity.ParticipantEntity,23,112,1,7,2,20,4,12,3,9
zyra,com.mingweisamuel.zyra.entity,SummonerEntity,419,550,37,19,83,97,54,45,31,40
zyra,com.mingweisamuel.zyra.entity,Entity,3,9,0,0,1,4,1,1,1,1
zyra,com.mingweisamuel.zyra.entity,EntityApi.EntityKey,10,57,6,6,1,12,6,3,0,3
zyra,com.mingweisamuel.zyra.entity,MatchEntity,98,136,9,1,15,17,15,14,10,14
zyra,com.mingweisamuel.zyra.entity,EntityApi,117,190,3,5,23,29,10,15,7,14
zyra,com.mingweisamuel.zyra,Endpoints,0,6,0,0,0,3,0,1,0,1
zyra,com.mingweisamuel.zyra,SummonerEndpoints,0,131,0,0,0,20,0,7,0,7
zyra,com.mingweisamuel.zyra,LeagueEndpoints,67,162,0,0,10,26,3,8,3,8
zyra,com.mingweisamuel.zyra,LeagueEndpoints.new TypeToken() {...},0,6,0,0,0,1,0,1,0,1
zyra,com.mingweisamuel.zyra,ChampionMasteryEndpoints,0,151,0,0,0,22,0,7,0,7
zyra,com.mingweisamuel.zyra,LeagueEndpoints.new TypeToken() {...},0,6,0,0,0,1,0,1,0,1
zyra,com.mingweisamuel.zyra,LeagueEndpoints.new TypeToken() {...},6,0,0,0,1,0,1,0,1,0
zyra,com.mingweisamuel.zyra,RiotApi,47,235,2,12,7,37,7,16,5,11
zyra,com.mingweisamuel.zyra,LeagueEndpoints.new TypeToken() {...},0,6,0,0,0,1,0,1,0,1
zyra,com.mingweisamuel.zyra,ChampionEndpoints,0,108,0,0,0,16,0,7,0,7
zyra,com.mingweisamuel.zyra,LolStaticDataEndpoints,1806,4,0,0,176,2,108,1,108,1
zyra,com.mingweisamuel.zyra,TournamentEndpoints,82,4,0,0,12,2,4,1,4,1
zyra,com.mingweisamuel.zyra,MatchEndpoints,244,320,0,0,26,28,16,11,16,11
zyra,com.mingweisamuel.zyra,ThirdPartyCodeEndpoints,43,4,0,0,6,2,2,1,2,1
